     TIME           U            X
   0.00000000      -1.00000000       0.00000000    
   0.00000000     -0.864666760       9.99999978E-03
   0.00000000     -0.731310129       1.99999996E-02
   0.00000000     -0.601875484       2.99999993E-02
   0.00000000     -0.478246272       3.99999991E-02
   0.00000000     -0.362214744       4.99999970E-02
   0.00000000     -0.255452871       5.99999987E-02
   0.00000000     -0.159486771       7.00000003E-02
   0.00000000      -7.56720901E-02   7.99999982E-02
   0.00000000      -5.17284870E-03   8.99999961E-02
   0.00000000       5.10565639E-02   9.99999940E-02
   0.00000000       9.22873020E-02  0.109999999    
   0.00000000      0.118026733      0.119999997    
   0.00000000      0.128026724      0.129999995    
   0.00000000      0.122287214      0.140000001    
   0.00000000      0.101056457      0.149999991    
   0.00000000       6.48269653E-02  0.159999996    
   0.00000000       1.43278837E-02  0.170000002    
   0.00000000      -4.94868755E-02  0.179999992    
   0.00000000     -0.125452936      0.189999998    
   0.00000000     -0.212214828      0.199999988    
   0.00000000     -0.308246255      0.209999993    
   0.00000000     -0.411875576      0.219999999    
   0.00000000     -0.521310329      0.229999989    
   0.00000000     -0.634666800      0.239999995    
   0.00000000     -0.750000060      0.250000000    
   0.00000000     -0.865333140      0.259999990    
   0.00000000     -0.978690088      0.269999981    
   0.00000000      -1.08812451      0.280000001    
   0.00000000      -1.19175375      0.289999992    
   0.00000000      -1.28778553      0.299999982    
   0.00000000      -1.37454724      0.310000002    
   0.00000000      -1.45051336      0.319999993    
   0.00000000      -1.51432800      0.329999983    
   0.00000000      -1.56482720      0.340000004    
   0.00000000      -1.60105646      0.349999994    
   0.00000000      -1.62228727      0.359999985    
   0.00000000      -1.62802672      0.370000005    
   0.00000000      -1.61802673      0.379999995    
   0.00000000      -1.59228730      0.389999986    
   0.00000000      -1.55105650      0.399999976    
   0.00000000      -1.49482703      0.409999996    
   0.00000000      -1.42432809      0.419999987    
   0.00000000      -1.34051299      0.429999977    
   0.00000000      -1.24454689      0.439999998    
   0.00000000      -1.13778532      0.449999988    
   0.00000000      -1.02175331      0.459999979    
   0.00000000     -0.898124516      0.469999999    
   0.00000000     -0.768689811      0.479999989    
